ticker,cik,name,country
CNOB,0000712771,ConnectOne Bancorp Inc.,United States
CFB,0001458412,CrossFirst Bankshares Inc.,United States
CVBF,0000354647,CVB Financial Corporation,United States
EGBN,0001050441,Eagle Bancorp Inc.,United States
EWBC,0001069157,East West Bancorp Inc.,United States
EBC,0001810546,Eastern Bankshares Inc.,United States
ECBK,0001914605,ECB Bancorp Inc.,United States
EBTC,0001018399,Enterprise Bancorp Inc,United States
EFSC,0001025835,Enterprise Financial Services Corporation,United States
ESQ,0001531031,Esquire Financial Holdings Inc.,United States
ESSA,0001382230,ESSA Bancorp Inc.,United States
FMNB,0000709337,Farmers National Banc Corp.,United States
FDBC,0001098151,Fidelity D & D Bancorp Inc.,United States
FITB,0000035527,Fifth Third Bancorp,United States
FISI,0000862831,Financial Institutions Inc.,United States
FINW,0001856365,FinWise Bancorp,United States
FBNC,0000811589,First Bancorp,United States
FNLC,0000765207,First Bancorp Inc,United States
FBMS,0000947559,First Bancshares Inc.,United States
FRBA,0000947559,First Bank,United States
BUSE,0000314489,First Busey Corporation,United States
FBIZ,0001521951,First Business Financial Services Inc.,United States
FCNCA,0000798941,First Citizens BancShares Inc.,United States
FCBC,0000859070,First Community Bankshares Inc.,United States
FCCO,0000932781,First Community Corporation,United States
FFBC,0000708955,First Financial Bancorp.,United States
FFIN,0000036029,First Financial Bankshares Inc.,United States
THFF,0000714562,First Financial Corporation Indiana,United States
FFNW,0001401564,First Financial Northwest Inc.,United States
FFWM,0001413837,First Foundation Inc.,United States
FGBI,0001408534,First Guaranty Bancshares Inc.,United States
FHB,0000036377,First Hawaiian Inc.,United States
INBK,0001562463,First Internet Bancorp,United States
FIBK,0000860413,First Interstate BancSystem Inc.,United States
FRME,0000712534,First Merchants Corporation,United States
FMBH,0000700565,First Mid Bancshares Inc.,United States
FXNC,0000719402,First National Corporation,United States
FNWB,0001556727,First Northwest Bancorp,United States
FLIC,0000740663,First of Long Island Corporation (The),United States
FSFG,0001435508,First Savings Financial Group Inc.,United States
FSEA,0001943802,First Seacoast Bancorp Inc.,United States
FUNC,0000763907,First United Corporation,United States
FUSB,0000717806,First US Bancshares Inc.,United States
MYFW,0001327607,First Western Financial Inc.,United States
FSBC,0001275168,Five Star Bancorp,United States
FFIC,0000923139,Flushing Financial Corporation,United States
FNCB,0001035976,FNCB Bancorp Inc.,United States
FRAF,0000723646,Franklin Financial Services Corporation,United States
FSBW,0001530249,FS Bancorp Inc.,United States
FULT,0000700564,Fulton Financial Corporation,United States
FVCB,0001675644,FVCBankcorp Inc.,United States
GBNY,0001823365,Generations Bancorp NY Inc.,United States
GABC,0000714395,German American Bancorp Inc.,United States
GLBZ,0000890066,Glen Burnie Bancorp,United States
GSBC,0000854560,Great Southern Bancorp Inc.,United States
GCBC,0001070524,Greene County Bancorp Inc.,United States
GGAL,0001114700,Grupo Financiero Galicia S.A.,Argentina
HWC,0000750577,Hancock Whitney Corporation,United States
HAFC,0001109242,Hanmi Financial Corporation,United States
